Old package separator "'" deprecated at /usr/bin/mactime line 154.
Old package separator "'" deprecated at /usr/bin/mactime line 167.
Date,Size,Type,Mode,UID,GID,Meta,File Name
Xxx Xxx 00 0000 00:00:00,105195,..c.,r/rrwxrwxrwx,0,0,1029,"/DCIM/100CANON/IMG_0044.JPG"
Xxx Xxx 00 0000 00:00:00,1361807,..c.,r/rrwxrwxrwx,0,0,1030,"/DCIM/100CANON/IMG_0042.JPG"
Xxx Xxx 00 0000 00:00:00,840101,..c.,r/rrwxrwxrwx,0,0,1031,"/DCIM/100CANON/IMG_0003.JPG"
Xxx Xxx 00 0000 00:00:00,2834018,..c.,r/rrwxrwxrwx,0,0,1032,"/DCIM/100CANON/IMG_0043.JPG"
Xxx Xxx 00 0000 00:00:00,110686,..c.,r/rrwxrwxrwx,0,0,1033,"/DCIM/100CANON/IMG_0045.JPG"
Xxx Xxx 00 0000 00:00:00,116135,..c.,r/rrwxrwxrwx,0,0,1034,"/DCIM/100CANON/IMG_0046.JPG"
Xxx Xxx 00 0000 00:00:00,865313,..c.,r/rrwxrwxrwx,0,0,1035,"/DCIM/100CANON/IMG_0007.JPG"
Xxx Xxx 00 0000 00:00:00,120441,..c.,r/rrwxrwxrwx,0,0,1036,"/DCIM/100CANON/IMG_0047.JPG"
Xxx Xxx 00 0000 00:00:00,840692,..c.,r/rrwxrwxrwx,0,0,1037,"/DCIM/100CANON/IMG_0009.JPG"
Xxx Xxx 00 0000 00:00:00,1296150,..c.,r/rrwxrwxrwx,0,0,1038,"/DCIM/100CANON/IMG_0038.JPG"
Xxx Xxx 00 0000 00:00:00,771052,..c.,r/rrwxrwxrwx,0,0,1039,"/DCIM/100CANON/IMG_0011.JPG"
Xxx Xxx 00 0000 00:00:00,124906,..c.,r/rrwxrwxrwx,0,0,1040,"/DCIM/100CANON/IMG_0048.JPG"
Xxx Xxx 00 0000 00:00:00,842160,..c.,r/rrwxrwxrwx,0,0,1041,"/DCIM/100CANON/IMG_0013.JPG"
Xxx Xxx 00 0000 00:00:00,114940,..c.,r/rrwxrwxrwx,0,0,1042,"/DCIM/100CANON/IMG_0049.JPG"
Xxx Xxx 00 0000 00:00:00,127191,..c.,r/rrwxrwxrwx,0,0,1043,"/DCIM/100CANON/IMG_0050.JPG"
