KeyName,KeyLastWriteTimestamp,Date,Class,Directory,DriverInBox,Hwids,Inf,Provider,SubmissionId,SYSFILE,Version
accelerometer.inf_amd64_8ba18c641c7268f6,2017-01-28 21:42:53,2015-06-05 00:00:00,system,c:\windows\system32\driverstore\filerepository\accelerometer.inf_amd64_8ba18c641c7268f6,False,acpi\hpq6007,oem41.inf,"Hewlett-Packard Development Company, L.P.",1736454,"amd64\accelerometer.sys,amd64\hpdskflt.sys",6.0.11.1
cisstrt.inf_amd64_292c1a5fa5e4e2d3,2017-01-28 21:43:01,2016-08-11 00:00:00,media,c:\windows\system32\driverstore\filerepository\cisstrt.inf_amd64_292c1a5fa5e4e2d3,False,"intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81a0,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81ac,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81ad,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81cb,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81cc,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81cd,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81ce,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81cf,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81d0,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81d1,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81d2,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81d3,intelaudio\func_01&ven_14f1&dev_2008&subsys_103c81d4,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c804e,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c804f,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8079,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c807a,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c807c,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80d3,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80d4,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80d5,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80d6,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80f7,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80f8,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80f9,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80fa,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80fb,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80fc,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80fd,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c80ff,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8100,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8101,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8102,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8108,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8109,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c810a,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c811c,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c811d,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c811e,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c811f,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8120,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8125,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8126,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8127,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8128,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8129,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c812a,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c812b,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8146,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c814c,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c814d,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c814e,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c814f,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8150,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8151,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8171,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8172,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8174,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c818f,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8197,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8198,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c8199,intelaudio\func_01&ven_14f1&dev_50f4&subsys_103c81a1",oem49.inf,Conexant,,"chdrt64isst.sys,chdrt64isstw81.sys",9.0.98.0
e1d65x64.inf_amd64_1ae374f778acca53,2017-01-28 21:43:04,2015-08-13 00:00:00,net,c:\windows\system32\driverstore\filerepository\e1d65x64.inf_amd64_1ae374f778acca53,False,"pci\ven_8086&dev_153a,pci\ven_8086&dev_153a&subsys_1909103c,pci\ven_8086&dev_153a&subsys_190a103c,pci\ven_8086&dev_153a&subsys_2253103c,pci\ven_8086&dev_153a&subsys_2255103c,pci\ven_8086&dev_153b,pci\ven_8086&dev_1559,pci\ven_8086&dev_155a,pci\ven_8086&dev_155a&subsys_198f103c,pci\ven_8086&dev_155a&subsys_1991103c,pci\ven_8086&dev_155a&subsys_1993103c,pci\ven_8086&dev_155a&subsys_1994103c,pci\ven_8086&dev_155a&subsys_2101103c,pci\ven_8086&dev_155a&subsys_2102103c,pci\ven_8086&dev_155a&subsys_213e103c,pci\ven_8086&dev_155a&subsys_21b3103c,pci\ven_8086&dev_155a&subsys_221b103c,pci\ven_8086&dev_155a&subsys_22da103c,pci\ven_8086&dev_156f,pci\ven_8086&dev_156f&subsys_8079103c,pci\ven_8086&dev_156f&subsys_807c103c,pci\ven_8086&dev_156f&subsys_80fa103c,pci\ven_8086&dev_156f&subsys_80fb103c,pci\ven_8086&dev_156f&subsys_80fd103c,pci\ven_8086&dev_1570,pci\ven_8086&dev_1570&subsys_8079103c,pci\ven_8086&dev_1570&subsys_807c103c,pci\ven_8086&dev_1570&subsys_807d103c,pci\ven_8086&dev_1570&subsys_80fa103c,pci\ven_8086&dev_15a0,pci\ven_8086&dev_15a1,pci\ven_8086&dev_15a2,pci\ven_8086&dev_15a2&subsys_2216103c,pci\ven_8086&dev_15a2&subsys_221b103c,pci\ven_8086&dev_15a2&subsys_225a103c,pci\ven_8086&dev_15a2&subsys_2270103c,pci\ven_8086&dev_15a2&subsys_2271103c,pci\ven_8086&dev_15a2&subsys_22da103c,pci\ven_8086&dev_15a2&subsys_22fb103c,pci\ven_8086&dev_15a2&subsys_8079103c,pci\ven_8086&dev_15a3,pci\ven_8086&dev_15b7,pci\ven_8086&dev_15b7&subsys_807c103c,pci\ven_8086&dev_15b7&subsys_80d3103c,pci\ven_8086&dev_15b7&subsys_80d4103c,pci\ven_8086&dev_15b7&subsys_80d5103c,pci\ven_8086&dev_15b7&subsys_80d6103c,pci\ven_8086&dev_15b7&subsys_80f7103c,pci\ven_8086&dev_15b7&subsys_80f8103c,pci\ven_8086&dev_15b7&subsys_8108103c,pci\ven_8086&dev_15b7&subsys_8109103c,pci\ven_8086&dev_15b7&subsys_810a103c,pci\ven_8086&dev_15b7&subsys_8125103c,pci\ven_8086&dev_15b8",oem17.inf,Intel,1765769,e1d65x64.sys,12.13.17.7
heci.inf_amd64_82b6b79bb97b30fb,2017-01-28 21:43:18,2015-10-08 00:00:00,system,c:\windows\system32\driverstore\filerepository\heci.inf_amd64_82b6b79bb97b30fb,False,"pci\ven_8086&dev_1c3a,pci\ven_8086&dev_1cba,pci\ven_8086&dev_1d3a,pci\ven_8086&dev_1dba,pci\ven_8086&dev_1e3a,pci\ven_8086&dev_8c3a,pci\ven_8086&dev_8cba,pci\ven_8086&dev_8d3a,pci\ven_8086&dev_9c3a,pci\ven_8086&dev_9cba,pci\ven_8086&dev_9d3a,pci\ven_8086&dev_a13a",oem59.inf,Intel,1769084,"x64\hecix64.sys,x64\teedriverw8x64.sys,x64\teedriverx64.sys",11.0.0.1172
iaahcic.inf_amd64_b4ae13c6e6218d1b,2017-01-28 21:43:08,2015-11-17 00:00:00,hdc,c:\windows\system32\driverstore\filerepository\iaahcic.inf_amd64_b4ae13c6e6218d1b,False,"pci\ven_8086&dev_8c02&cc_0106,pci\ven_8086&dev_8c03&cc_0106,pci\ven_8086&dev_8c82&cc_0106,pci\ven_8086&dev_8c83&cc_0106,pci\ven_8086&dev_8d02&cc_0106,pci\ven_8086&dev_9c02&cc_0106,pci\ven_8086&dev_9c03&cc_0106,pci\ven_8086&dev_9c82&cc_0106,pci\ven_8086&dev_9c83&cc_0106,pci\ven_8086&dev_9d03&cc_0106,pci\ven_8086&dev_a102&cc_0106,pci\ven_8086&dev_a103&cc_0106",oem42.inf,Intel Corporation,1780807,"iastora.sys,iastorf.sys",14.8.1.1043
igdlh64.inf_amd64_fff6d302e6c0f9ec,2017-01-28 21:43:11,2015-11-20 00:00:00,display,c:\windows\system32\driverstore\filerepository\igdlh64.inf_amd64_fff6d302e6c0f9ec,False,"pci\ven_8086&dev_1906&subsys_8079103c,pci\ven_8086&dev_1906&subsys_807c103c,pci\ven_8086&dev_1906&subsys_80fa103c,pci\ven_8086&dev_1906&subsys_80fd103c,pci\ven_8086&dev_1906&subsys_80ff103c,pci\ven_8086&dev_1906&subsys_8100103c,pci\ven_8086&dev_1906&subsys_8101103c,pci\ven_8086&dev_1906&subsys_8102103c,pci\ven_8086&dev_1916&subsys_8079103c,pci\ven_8086&dev_1916&subsys_807c103c,pci\ven_8086&dev_1916&subsys_80fa103c,pci\ven_8086&dev_1916&subsys_80fd103c,pci\ven_8086&dev_1916&subsys_80ff103c,pci\ven_8086&dev_1916&subsys_8100103c,pci\ven_8086&dev_1916&subsys_8101103c,pci\ven_8086&dev_1916&subsys_8102103c,pci\ven_8086&dev_191b&subsys_80d3103c,pci\ven_8086&dev_191b&subsys_80d4103c,pci\ven_8086&dev_191b&subsys_80d5103c,pci\ven_8086&dev_191b&subsys_80d6103c,pci\ven_8086&dev_191b&subsys_80f7103c,pci\ven_8086&dev_191b&subsys_80f8103c,pci\ven_8086&dev_191b&subsys_8125103c,pci\ven_8086&dev_191d&subsys_80d3103c,pci\ven_8086&dev_191d&subsys_80d4103c,pci\ven_8086&dev_191d&subsys_80d5103c,pci\ven_8086&dev_191d&subsys_80d6103c,pci\ven_8086&dev_191d&subsys_80f7103c,pci\ven_8086&dev_191d&subsys_80f8103c,pci\ven_8086&dev_191e&subsys_80fb103c,pci\ven_8086&dev_191e&subsys_80fc103c,pci\ven_8086&dev_191e&subsys_8170103c,pci\ven_8086&dev_193d&subsys_80d3103c,pci\ven_8086&dev_193d&subsys_80d4103c,pci\ven_8086&dev_193d&subsys_80d5103c,pci\ven_8086&dev_193d&subsys_80d6103c,pci\ven_8086&dev_193d&subsys_80f7103c,pci\ven_8086&dev_193d&subsys_80f8103c",oem35.inf,Intel Corporation,1783825,igdkmd64.sys,20.19.15.4331
intcaudiobus.inf_amd64_b74b66f74e759128,2017-01-28 21:43:11,2016-05-17 00:00:00,system,c:\windows\system32\driverstore\filerepository\intcaudiobus.inf_amd64_b74b66f74e759128,False,"pci\ven_8086&dev_9d70&cc_0401,pci\ven_8086&dev_9d70&cc_040380,pci\ven_8086&dev_a170&cc_0401,pci\ven_8086&dev_a170&cc_040380",oem19.inf,Intel(R) Corporation,,intcaudiobus.sys,8.20.0.931
intcdaud.inf_amd64_35a4653c472c2f34,2017-01-28 21:43:13,2015-10-05 00:00:00,media,c:\windows\system32\driverstore\filerepository\intcdaud.inf_amd64_35a4653c472c2f34,False,"hdaudio\func_01&ven_8086&dev_2809&subsys_80860101,intelaudio\func_01&ven_8086&dev_2809&subsys_80860101",oem65.inf,Intel(R) Corporation,1769606,intcdaud.sys,8.20.0.659
intcoed.inf_amd64_ed4f7e41c52ab132,2017-01-28 21:43:15,2016-05-17 00:00:00,system,c:\windows\system32\driverstore\filerepository\intcoed.inf_amd64_ed4f7e41c52ab132,False,intelaudio\dsp_ven_8086&dev_0222&subsys_00000022&rev_0001,oem14.inf,Intel(R) Corporation,,intcoed.sys,8.20.0.931
rtchhp.inf_amd64_33a8e5424b0a4fab,2017-01-28 21:43:34,2016-03-07 00:00:00,image,c:\windows\system32\driverstore\filerepository\rtchhp.inf_amd64_33a8e5424b0a4fab,False,"usb\vid_04ca&pid_7031&mi_00,usb\vid_04ca&pid_7032&mi_00,usb\vid_04ca&pid_7033&mi_00,usb\vid_04ca&pid_7034&mi_00,usb\vid_04ca&pid_703a&mi_00,usb\vid_04ca&pid_704c&mi_00,usb\vid_04ca&pid_704d&mi_00,usb\vid_04ca&pid_7052&mi_00,usb\vid_04ca&pid_7053&mi_00,usb\vid_04ca&pid_7054&mi_00,usb\vid_04ca&pid_7056&mi_00,usb\vid_04f2&pid_b341&mi_00,usb\vid_04f2&pid_b346&mi_00,usb\vid_04f2&pid_b385&mi_00,usb\vid_04f2&pid_b386&mi_00,usb\vid_04f2&pid_b389&mi_00,usb\vid_04f2&pid_b3ae&mi_00,usb\vid_04f2&pid_b3c8&mi_00,usb\vid_04f2&pid_b3c9&mi_00,usb\vid_04f2&pid_b3ca&mi_00,usb\vid_04f2&pid_b3ec&mi_00,usb\vid_04f2&pid_b3ed&mi_00,usb\vid_04f2&pid_b430&mi_00,usb\vid_04f2&pid_b431&mi_00,usb\vid_04f2&pid_b43e&mi_00,usb\vid_04f2&pid_b43f&mi_00,usb\vid_04f2&pid_b476&mi_00,usb\vid_04f2&pid_b477&mi_00,usb\vid_04f2&pid_b51d&mi_00,usb\vid_04f2&pid_b548&mi_00,usb\vid_04f2&pid_b55f&mi_00,usb\vid_04f2&pid_b58e&mi_00,usb\vid_04f2&pid_b595&mi_00,usb\vid_05c8&pid_0213&mi_00,usb\vid_05c8&pid_030f&mi_00,usb\vid_05c8&pid_032e&mi_00,usb\vid_05c8&pid_032f&mi_00,usb\vid_05c8&pid_0330&mi_00,usb\vid_05c8&pid_0331&mi_00,usb\vid_05c8&pid_0357&mi_00,usb\vid_05c8&pid_0358&mi_00,usb\vid_05c8&pid_035b&mi_00,usb\vid_05c8&pid_0368&mi_00,usb\vid_05c8&pid_0370&mi_00,usb\vid_05c8&pid_0380&mi_00,usb\vid_05c8&pid_0386&mi_00,usb\vid_05c8&pid_038b&mi_00,usb\vid_05c8&pid_038c&mi_00,usb\vid_05c8&pid_0395&mi_00,usb\vid_05c8&pid_0396&mi_00,usb\vid_05c8&pid_0397&mi_00,usb\vid_05c8&pid_03a0&mi_00,usb\vid_05c8&pid_0403&mi_00,usb\vid_05c8&pid_040d&mi_00,usb\vid_05c8&pid_041f&mi_00,usb\vid_05c8&pid_0604&mi_00",oem43.inf,Realtek,,rtsuvc.sys,10.0.10586.11177
