RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
36,36,2017-01-27 02:32:33.1828477,7045,Info,Service Control Manager,System,716,812,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: Broadcom Advanced Server Program Driver,StartType: demand start,"Account: ",,,,\SystemRoot\system32\DRIVERS\basp.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""Broadcom Advanced Server Program Driver""},{""@Name"":""ImagePath"",""#text"":""\\SystemRoot\\system32\\DRIVERS\\basp.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
51,51,2017-01-27 02:33:17.2031436,7045,Info,Service Control Manager,System,716,1452,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: Intel(R) Extreme Tuning Utility Service,StartType: demand start,"Account: ",,,,\SystemRoot\System32\drivers\XtuAcpiDriver.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""Intel(R) Extreme Tuning Utility Service""},{""@Name"":""ImagePath"",""#text"":""\\SystemRoot\\System32\\drivers\\XtuAcpiDriver.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
53,53,2017-01-27 02:33:17.4844290,7045,Info,Service Control Manager,System,716,1452,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: HP Wireless Button Driver Service,StartType: demand start,"Account: ",,,,\SystemRoot\System32\drivers\WirelessButtonDriver64.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""HP Wireless Button Driver Service""},{""@Name"":""ImagePath"",""#text"":""\\SystemRoot\\System32\\drivers\\WirelessButtonDriver64.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
60,60,2017-01-27 02:34:36.3832988,7045,Info,Service Control Manager,System,716,1428,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: HP Universal Camera Driver,StartType: demand start,"Account: ",,,,\SystemRoot\system32\DRIVERS\rtsuvc.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""HP Universal Camera Driver""},{""@Name"":""ImagePath"",""#text"":""\\SystemRoot\\system32\\DRIVERS\\rtsuvc.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
63,63,2017-01-27 02:34:51.2548970,7045,Info,Service Control Manager,System,716,1428,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: Synaptics TouchPad Driver,StartType: demand start,"Account: ",,,,\SystemRoot\system32\DRIVERS\SynTP.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""Synaptics TouchPad Driver""},{""@Name"":""ImagePath"",""#text"":""\\SystemRoot\\system32\\DRIVERS\\SynTP.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
67,67,2017-01-27 02:34:53.0363454,7045,Info,Service Control Manager,System,716,1428,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: SynTPEnh Caller Service,StartType: auto start,Account: LocalSystem,,,,"""C:\Program Files\Synaptics\SynTP\SynTPEnhService.exe""",False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""SynTPEnh Caller Service""},{""@Name"":""ImagePath"",""#text"":""\""C:\\Program Files\\Synaptics\\SynTP\\SynTPEnhService.exe\""""},{""@Name"":""ServiceType"",""#text"":""user mode service""},{""@Name"":""StartType"",""#text"":""auto start""},{""@Name"":""AccountName"",""#text"":""LocalSystem""}]}}"
69,69,2017-01-27 02:34:53.8645494,7045,Info,Service Control Manager,System,716,1428,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: Microsoft Kernel Debug Network Miniport (NDIS 6.20),StartType: demand start,"Account: ",,,,\SystemRoot\System32\drivers\kdnic.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""Microsoft Kernel Debug Network Miniport (NDIS 6.20)""},{""@Name"":""ImagePath"",""#text"":""\\SystemRoot\\System32\\drivers\\kdnic.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
71,71,2017-01-27 02:34:55.1459703,7045,Info,Service Control Manager,System,716,1428,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: SmbDrvI,StartType: demand start,"Account: ",,,,\SystemRoot\system32\DRIVERS\Smb_driver_Intel.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""SmbDrvI""},{""@Name"":""ImagePath"",""#text"":""\\SystemRoot\\system32\\DRIVERS\\Smb_driver_Intel.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
78,78,2017-01-27 02:34:56.9117489,7045,Info,Service Control Manager,System,716,1428,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: HP Mobile Data Protection Sensor,StartType: demand start,"Account: ",,,,\SystemRoot\system32\DRIVERS\Accelerometer.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""HP Mobile Data Protection Sensor""},{""@Name"":""ImagePath"",""#text"":""\\SystemRoot\\system32\\DRIVERS\\Accelerometer.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName""}]}}"
80,80,2017-01-27 02:34:56.9743721,7045,Info,Service Control Manager,System,716,1428,DESKTOP-KLOQJ0V,0,S-1-5-18,A new service was installed in the system,,,Name: HP Filter,StartType: boot start,"Account: ",,,,system32\DRIVERS\hpdskflt.sys,False,exports/hd1/evtx/Logs/System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""HP Filter""},{""@Name"":""ImagePath"",""#text"":""system32\\DRIVERS\\hpdskflt.sys""},{""@Name"":""ServiceType"",""#text"":""kernel mode driver""},{""@Name"":""StartType"",""#text"":""boot start""},{""@Name"":""AccountName""}]}}"
