SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Next pet.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,..\..\..\..\..\Desktop\Next pet,C:\Users\Sarah M\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Desktop\Next pet,,,,This PC\Desktop\Next pet,0x0,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Great Horned Owl.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-01-27 17:19:12,2017-01-27 17:19:12,2017-01-27 17:19:12,64476,..\..\..\..\..\Desktop\pets\Great Horned Owl.jpg,C:\Users\Sarah M\Desktop\pets,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Desktop\pets\Great Horned Owl.jpg,,,,This PC\Desktop\pets\Great Horned Owl.jpg,0x462,0xC,desktop-kloqj0v,a4:34:d9:55:64:9f,INTEL,2017-01-27 16:52:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Background.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,..\..\..\..\..\Downloads\Background.jpg,C:\Users\Sarah M\Downloads,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Downloads\Background.jpg,,,,This PC\Downloads\Background.jpg,0x0,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Snowy Owl.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-01-27 17:19:16,2017-01-27 17:19:18,2017-01-27 17:19:16,5948982,..\..\..\..\..\Desktop\pets\Snowy Owl.jpg,C:\Users\Sarah M\Desktop\pets,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Desktop\pets\Snowy Owl.jpg,,,,This PC\Desktop\pets\Snowy Owl.jpg,0x23023,0xE,desktop-kloqj0v,a4:34:d9:55:64:9f,INTEL,2017-01-27 16:52:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/New Pet Care.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-01-31 19:09:25,2017-02-02 22:00:34,2017-02-02 22:00:34,4096,..\..\..\..\..\Documents\New Pet Care,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Documents\New Pet Care,,,,This PC\Documents\New Pet Care,0x25ACB,0xE,desktop-kloqj0v,a4:34:d9:55:64:9f,INTEL,2017-01-30 22:46:58,"TrackerDataBaseBlock, PropertyStoreDataBlock"
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/what is this.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,..\..\..\..\..\Desktop\what is this.html,C:\Users\Sarah M\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Desktop\what is this.html,,,,This PC\Desktop\what is this.html,0x0,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Downloads.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,2017-01-27 00:34:48,2017-01-31 19:09:10,2017-01-31 19:09:10,4096,..\..\..\..\..\Downloads,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Downloads,,,,This PC\Downloads,,,desktop-kloqj0v,a4:34:d9:55:64:9f,INTEL,2017-01-26 23:43:43,"TrackerDataBaseBlock, PropertyStoreDataBlock"
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Owl_Keeping.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,..\..\..\..\..\Downloads\Owl_Keeping.pdf,C:\Users\Sarah M\Downloads,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Downloads\Owl_Keeping.pdf,,,,This PC\Downloads\Owl_Keeping.pdf,0x0,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/ (F).lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,1980-01-01 05:00:00,1980-01-01 05:00:00,1980-01-01 05:00:00,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",80BC89A2,,F:\,,,,F:,,,,,,,
/home/sansforensics/cases/OWL_TRADE_2026/exports/hd1/lnk/Sarah_M/Great Horned Owl Info.lnk,2026-04-30 16:13:21,2026-04-30 16:13:21,2026-04-30 16:18:16,,,,0,..\..\..\..\..\Downloads\Great Horned Owl Info.pdf,C:\Users\Sarah M\Downloads,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),14412537,Windows,C:\Users\Sarah M\Downloads\Great Horned Owl Info.pdf,,,,This PC\Downloads\Great Horned Owl Info.pdf,0x0,,,,,,
