Path,BatchKeyPath,BatchValueName
C:\Program Files\Synaptics\SynTP\SynTPHelper.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah McAvoy\AppData\Local\Microsoft\OneDrive\17.3.5892.0626\FileSyncConfig.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah McAvoy\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah McAvoy\AppData\Local\Microsoft\OneDrive\17.3.6743.1212\FileSyncConfig.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\AppData\Local\Temp\GUMFD94.tmp\GoogleUpdateSetup.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\Downloads\SkypeSetupFull.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\AppData\Local\Microsoft\OneDrive\17.3.5892.0626\FileSyncConfig.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\Downloads\ChromeSetup.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files\Synaptics\SynTP\SynTPHelper.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\AppData\Local\Microsoft\OneDrive\17.3.6381.0405\FileSyncConfig.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files (x86)\Skype\Phone\Skype.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\AppData\Local\Microsoft\OneDrive\17.3.6743.1212\FileSyncConfig.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\AppData\Roaming\Microsoft\Windows\Pidgin\pidgin.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\Sarah M\AppData\Local\yahoomessenger\Update.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
