Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,1,The Internet,The Internet.lnk,0,2017-01-27 02:45:05.5970077,2017-01-27 02:45:05.5970077
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,?LinkId=627613,http--go.microsoft.com-fwlink-LinkId=627613.lnk,1,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,2,::{60632754-C523-4B62-B45C-4172DA012619},User Accounts.lnk,2,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,?LinkID=219472&clcid=0x409,http--go.microsoft.com-fwlink-LinkID=219472&clcid=0x409.lnk,3,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,The Internet,The Internet.lnk,0,2017-01-27 02:45:05.5970077,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,The Internet,The Internet.lnk,0,2017-01-27 02:45:05.5970077,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,21,21,what is this.html,what is this.lnk,0,2017-02-02 22:52:25.4913655,2017-02-02 22:52:25.4853535
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,20,20,WOLf Awsome.html,WOLf Awsome.lnk,1,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,14,14,New Pet Care,New Pet Care.lnk,2,,2017-02-02 22:39:08.6209908
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,12,12,Owl_Emergency_Care.pdf,Owl_Emergency_Care.lnk,3,,2017-02-02 22:39:08.6034433
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,18,18," (F:)"," (F).lnk",4,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,15,15,Snowy_Owl.pdf,Snowy_Owl.lnk,5,,
