BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Trgfgnegrq_8jrxlo3q8oojr!Ncc,Microsoft.Getstarted_8wekyb3d8bbwe!App,14,21,"0d, 0h, 07m, 00s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,108,153,"0d, 1h, 07m, 38s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Bssvpr.Fjnl_8jrxlo3q8oojr!Zvpebfbsg.Fjnl,Microsoft.Office.Sway_8wekyb3d8bbwe!Microsoft.Sway,13,19,"0d, 0h, 06m, 20s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfZncf_8jrxlo3q8oojr!Ncc,Microsoft.WindowsMaps_8wekyb3d8bbwe!App,12,17,"0d, 0h, 05m, 40s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Crbcyr_8jrxlo3q8oojr!k4p7n3o7ql2188l46q4ln362l19np5n5805r5k,Microsoft.People_8wekyb3d8bbwe!x4c7a3b7dy2188y46d4ya362y19ac5a5805e5x,11,15,"0d, 0h, 05m, 00s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfPnyphyngbe_8jrxlo3q8oojr!Ncc,Microsoft.WindowsCalculator_8wekyb3d8bbwe!App,10,13,"0d, 0h, 04m, 20s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfNynezf_8jrxlo3q8oojr!Ncc,Microsoft.WindowsAlarms_8wekyb3d8bbwe!App,9,11,"0d, 0h, 03m, 40s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\FavccvatGbby.rkr,{System}\SnippingTool.exe,8,9,"0d, 0h, 03m, 00s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\zfcnvag.rkr,{System}\mspaint.exe,7,7,"0d, 0h, 02m, 20s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\abgrcnq.rkr,{System}\notepad.exe,6,5,"0d, 0h, 01m, 40s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.FgvpxlAbgrf,Microsoft.Windows.StickyNotes,5,3,"0d, 0h, 01m, 00s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\bbor\SvefgYbtbaNavz.rkr,{System}\oobe\FirstLogonAnim.exe,0,1,"0d, 0h, 01m, 46s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Jvaqbjf10Hctenqr\Jvaqbjf10HctenqreNcc.rkr,C:\Windows10Upgrade\Windows10UpgraderApp.exe,0,1,"0d, 0h, 02m, 26s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{6Q809377-6NS0-444O-8957-N3773S02200R}\UC\UC Jrypbzr\Tnentr.Pbagnvare.rkr,{ProgramFilesX64}\HP\HP Welcome\Garage.Container.exe,0,1,"0d, 0h, 00m, 08s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{S38OS404-1Q43-42S2-9305-67QR0O28SP23}\FlfgrzNccf\Zvpebfbsg.Jvaqbjf.Pbegnan_pj5a1u2gklrjl\FrnepuHV.rkr,{Windows}\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,0,4,"0d, 0h, 00m, 52s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,jvaqbjf.vzzrefvirpbagebycnary_pj5a1u2gklrjl!zvpebfbsg.jvaqbjf.vzzrefvirpbagebycnary,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,9,14,"0d, 0h, 14m, 18s",2017-01-27 00:34:08.0270000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{S38OS404-1Q43-42S2-9305-67QR0O28SP23}\FlfgrzNccf\FuryyRkcrevraprUbfg_pj5a1u2gklrjl\FuryyRkcrevraprUbfg.rkr,{Windows}\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0,8,"0d, 0h, 06m, 24s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.ZvpebfbsgRqtr_8jrxlo3q8oojr!ZvpebfbsgRqtr,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,0,3,"0d, 0h, 01m, 04s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.PbagebyCnary,Microsoft.Windows.ControlPanel,2,1,"0d, 0h, 00m, 35s",2017-01-27 00:14:04.1370000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.Rkcybere,Microsoft.Windows.Explorer,2,0,"0d, 0h, 00m, 02s",2017-01-27 00:33:20.2480000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Favccvat Gbby.yax,{Common Programs}\Accessories\Snipping Tool.lnk,8,0,"0d, 0h, 00m, 00s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,29,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Cnvag.yax,{Common Programs}\Accessories\Paint.lnk,7,0,"0d, 0h, 00m, 00s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{N77S5Q77-2R2O-44P3-N6N2-NON601054N51}\Npprffbevrf\Abgrcnq.yax,{Programs}\Accessories\Notepad.lnk,6,0,"0d, 0h, 00m, 00s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Fgvpxl Abgrf.yax,{Common Programs}\Accessories\Sticky Notes.lnk,5,0,"0d, 0h, 00m, 00s",2017-01-26 23:42:45.9271124
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{N77S5Q77-2R2O-44P3-N6N2-NON601054N51}\Flfgrz Gbbyf\Pbageby Cnary.yax,{Programs}\System Tools\Control Panel.lnk,1,0,"0d, 0h, 00m, 00s",2017-01-27 00:14:04.1370000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{N77S5Q77-2R2O-44P3-N6N2-NON601054N51}\Flfgrz Gbbyf\Svyr Rkcybere.yax,{Programs}\System Tools\File Explorer.lnk,2,0,"0d, 0h, 00m, 00s",2017-01-27 00:33:20.2480000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Trgfgnegrq_8jrxlo3q8oojr!Ncc,Microsoft.Getstarted_8wekyb3d8bbwe!App,14,21,"0d, 0h, 07m, 00s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,152,348,"0d, 7h, 33m, 01s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Bssvpr.Fjnl_8jrxlo3q8oojr!Zvpebfbsg.Fjnl,Microsoft.Office.Sway_8wekyb3d8bbwe!Microsoft.Sway,13,19,"0d, 0h, 06m, 15s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfZncf_8jrxlo3q8oojr!Ncc,Microsoft.WindowsMaps_8wekyb3d8bbwe!App,12,17,"0d, 0h, 05m, 30s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfPnyphyngbe_8jrxlo3q8oojr!Ncc,Microsoft.WindowsCalculator_8wekyb3d8bbwe!App,11,15,"0d, 0h, 04m, 45s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfNynezf_8jrxlo3q8oojr!Ncc,Microsoft.WindowsAlarms_8wekyb3d8bbwe!App,10,13,"0d, 0h, 04m, 00s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\FavccvatGbby.rkr,{System}\SnippingTool.exe,9,11,"0d, 0h, 03m, 15s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\zfcnvag.rkr,{System}\mspaint.exe,9,9,"0d, 0h, 02m, 31s",2017-01-27 17:21:49.1610000
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\abgrcnq.rkr,{System}\notepad.exe,7,7,"0d, 0h, 01m, 45s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.FgvpxlAbgrf,Microsoft.Windows.StickyNotes,6,5,"0d, 0h, 01m, 00s",2017-01-27 00:33:27.6680324
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{S38OS404-1Q43-42S2-9305-67QR0O28SP23}\FlfgrzNccf\Zvpebfbsg.Jvaqbjf.Pbegnan_pj5a1u2gklrjl\FrnepuHV.rkr,{Windows}\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,0,9,"0d, 0h, 01m, 31s",
ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,jvaqbjf.vzzrefvirpbagebycnary_pj5a1u2gklrjl!zvpebfbsg.jvaqbjf.vzzrefvirpbagebycnary,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,9,23,"0d, 0h, 06m, 14s",2017-01-27 01:49:37.9130000
