KeyName,BatchKeyPath,DisplayName,BatchValueName,InstallTime,PackageRootFolder
9E2F88E3.Twitter_5.4.1.0_x86__wgeqdkkx372wm,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\9E2F88E3.Twitter_wgeqdkkx372wm,Twitter,Multiple,2017-01-27 17:12:01.6485977,C:\Program Files\WindowsApps\9E2F88E3.Twitter_5.4.1.0_x86__wgeqdkkx372wm
AD2F1837.DiscoverHPTouchpointManager_1.0.13.1_x86__v10z8vjag6ke6,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\AD2F1837.DiscoverHPTouchpointManager_v10z8vjag6ke6,Discover HP Touchpoint Manager,Multiple,2017-01-27 17:13:28.1927515,C:\Program Files\WindowsApps\AD2F1837.DiscoverHPTouchpointManager_1.0.13.1_x86__v10z8vjag6ke6
king.com.CandyCrushSodaSaga_1.81.900.0_x86__kgqvnymyfvs32,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\king.com.CandyCrushSodaSaga_kgqvnymyfvs32,Candy Crush Soda Saga,Multiple,2017-01-27 17:11:59.5838577,C:\Program Files\WindowsApps\king.com.CandyCrushSodaSaga_1.81.900.0_x86__kgqvnymyfvs32
Microsoft.3DBuilder_12.0.3131.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.3DBuilder_8wekyb3d8bbwe,@{Microsoft.3DBuilder_12.0.3131.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.3DBuilder/resources/AppStoreName},Multiple,2017-01-27 17:31:09.2962991,C:\Program Files\WindowsApps\Microsoft.3DBuilder_12.0.3131.0_x64__8wekyb3d8bbwe
Microsoft.AAD.BrokerPlugin_1000.14393.0.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,@{Microsoft.AAD.BrokerPlugin_1000.14393.0.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName},Multiple,2017-01-27 16:54:46.1730166,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy
Microsoft.AccountsControl_10.0.14393.693_neutral__cw5n1h2txyewy,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.AccountsControl_cw5n1h2txyewy,@{Microsoft.AccountsControl_10.0.14393.693_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName},Multiple,2017-01-27 16:55:14.0510579,C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy
Microsoft.Advertising.Xaml_10.1611.3.0_x64__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Advertising.Xaml_8wekyb3d8bbwe,Microsoft Advertising SDK for XAML,Multiple,2017-01-27 17:31:47.0939885,C:\Program Files\WindowsApps\Microsoft.Advertising.Xaml_10.1611.3.0_x64__8wekyb3d8bbwe
Microsoft.Advertising.Xaml_10.1611.3.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Advertising.Xaml_8wekyb3d8bbwe,Microsoft Advertising SDK for XAML,Multiple,2017-01-27 17:31:42.0346443,C:\Program Files\WindowsApps\Microsoft.Advertising.Xaml_10.1611.3.0_x86__8wekyb3d8bbwe
Microsoft.BingFinance_4.18.37.0_neutral_split.scale-100_8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingFinance_8wekyb3d8bbwe,,Multiple,2017-01-27 17:33:34.1144266,
Microsoft.BingFinance_4.18.37.0_x86__8wekyb3d8bbwe,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingFinance_8wekyb3d8bbwe,@{Microsoft.BingFinance_4.18.37.0_x86__8wekyb3d8bbwe?ms-resource://Microsoft.BingFinance/Resources/ApplicationTitleWithBranding},Multiple,2017-01-27 17:33:34.1144266,C:\Program Files\WindowsApps\Microsoft.BingFinance_4.18.37.0_x86__8wekyb3d8bbwe
