HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,LangID,RegBinary,(Binary data),,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\system32\LaunchWinApp.exe.FriendlyAppName,RegSz,Launch Windows App,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\system32\LaunchWinApp.exe.ApplicationCompany,RegSz,Microsoft Corporation,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\System32\fsquirt.exe.FriendlyAppName,RegSz,fsquirt,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\System32\fsquirt.exe.ApplicationCompany,RegSz,Microsoft Corporation,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\System32\WFS.exe.FriendlyAppName,RegSz,Microsoft  Windows Fax and Scan,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Windows\System32\WFS.exe.ApplicationCompany,RegSz,Microsoft Corporation,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\WINDOWS\Explorer.exe.FriendlyAppName,RegSz,Windows Explorer,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\WINDOWS\Explorer.exe.ApplicationCompany,RegSz,Microsoft Corporation,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Users\Sarah M\Downloads\SkypeSetupFull.exe.FriendlyAppName,RegSz,Skype,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Users\Sarah M\Downloads\SkypeSetupFull.exe.ApplicationCompany,RegSz,Skype Technologies S.A.,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Users\Sarah M\Downloads\ChromeSetup.exe.FriendlyAppName,RegSz,Google Update Setup,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\Users\Sarah M\Downloads\ChromeSetup.exe.ApplicationCompany,RegSz,Google Inc.,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,c:\Program Files (x86)\CyberLink\PowerDVD12\PowerDVD12.exe.FriendlyAppName,RegSz,PowerDVD 12,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,c:\Program Files (x86)\CyberLink\PowerDVD12\PowerDVD12.exe.ApplicationCompany,RegSz,CyberLink Corp.,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\WINDOWS\system32\mspaint.exe.FriendlyAppName,RegSz,Paint,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\WINDOWS\system32\mspaint.exe.ApplicationCompany,RegSz,Microsoft Corporation,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
exports/hd1/registry/SarahM_UsrClass.dat,UsrClass,MuiCache (Vista+),Program Execution,S-1-5-21-929903582-3707417421-3176878646-1002_Classes\Local Settings\Software\Microsoft\Windows\Shell\MuiCache,C:\WINDOWS\system32\explorerframe.dll.FriendlyAppName,RegSz,ExplorerFrame,,,Displays new applications that have been executed within Windows,False,False,2017-02-02 22:00:30.1271895,
